Gene.Symbol,Refseq_ID,logFC
Fuz,Fuz,-1.2671611541174699
Mpz,Mpz,-1.27365116572079
Negr1,Negr1,-1.28382364478721
Ptn,Ptn,-1.29276403399471
Nit1,Nit1,-1.30025118105285
Igfbp4,Igfbp4,-1.3041182281371297
Emp2,Emp2,-1.32603495353056
Sv2b,Sv2b,-1.32938228397003
Chid1,Chid1,-1.33717907206924
Entpd6,Entpd6,-1.34187967683492
Dhrs7b,Dhrs7b,-1.34937333170502
P4ha1,P4ha1,-1.35007825577818
2210016f16rik,2210016f16rik,-1.3709394126436298
Ccnh,Ccnh,-1.37639440518801
Padi2,Padi2,-1.38276286213381
Rnf7,Rnf7,-1.38464893149645
D3ertd751e,D3ertd751e,-1.3877786267248797
Slc30a1,Slc30a1,-1.3916884894102401
Them4,Them4,-1.39330025273467
